,通知人,标题,日期,详细链接,附件
181,质量办,关于举办福州大学第六十三场“教学有道”研讨活动的通知,2024-12-24,https://jwch.fzu.edu.cn//info/1040/13810.htm,[]
182,教学运行,关于2024-2025学年第二学期本科生学期选课的通知,2024-12-23,https://jwch.fzu.edu.cn//info/1036/13804.htm,[]
183,实践科,关于对2024年学院教学有关数据进行统计的通知,2024-12-30,https://jwch.fzu.edu.cn//info/1039/13836.htm,"[{'附件名': '【2024年学院教学有关数据统计表格.zip', '下载词数': 792, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742546'}]"
184,教学运行,关于2025年春季学期《大学物理实验A（上）》、《大学物理实验C》绪论课程教室安排的通知,2025-01-08,https://jwch.fzu.edu.cn//info/1036/13853.htm,"[{'附件名': '【2025年春季学期《大学物理实验A（上）》、《大学物理实验C》绪论课安排.xlsx', '下载词数': 1177, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15756207'}]"
185,实践科,关于公布2024年福州大学大学生工程实践与创新能力大赛获奖名单的通知,2024-12-24,https://jwch.fzu.edu.cn//info/1039/13808.htm,[]
186,教学运行,关于做好期末复习考试及下学期开学等工作的通知,2024-12-27,https://jwch.fzu.edu.cn//info/1036/13820.htm,[]
187,质量办,关于上报学院本科教育教学质量保障2024年工作总结和2025年工作计划的通知,2024-12-18,https://jwch.fzu.edu.cn//info/1040/13797.htm,[]
188,教学运行,关于2024-2025学年第一学期《大学物理A（下）》和《大学物理B（下）》课程期末考试安排的通知,2024-12-29,https://jwch.fzu.edu.cn//info/1036/13833.htm,"[{'附件名': '【2401大学物理A下、B下期末考-1.17上午.xlsx', '下载词数': 546, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742324'}]"
189,教学运行,关于2024-2025学年第一学期《大学英语（二）》课程期末考试安排的通知,2024-12-25,https://jwch.fzu.edu.cn//info/1036/13814.htm,"[{'附件名': '【2401英语二期末考-1.11上、下午.xlsx', '下载词数': 574, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647283'}]"
190,教学运行,关于2024-2025学年第一学期《思想道德与法治》课程期末考试安排的通知,2024-12-24,https://jwch.fzu.edu.cn//info/1036/13806.htm,"[{'附件名': '【2401思法随堂考.xlsx', '下载词数': 1210, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15646936'}]"
191,教学运行,关于2024-2025学年第一学期《大学英语（一）》和《大学英语（三）》课程期末考试安排的通知,2024-12-25,https://jwch.fzu.edu.cn//info/1036/13813.htm,"[{'附件名': '【2401英语一、三期末考-1.10.xlsx', '下载词数': 465, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647279'}]"
192,质量办,关于举办福州大学第六十二场“教学有道” 研讨活动的通知,2024-12-05,https://jwch.fzu.edu.cn//info/1040/13783.htm,[]
193,教学运行,关于2024-2025学年第一学期《工程制图C（上）》、《工程制图D》和《工程制图F》课程期末考试安排的通知,2024-12-25,https://jwch.fzu.edu.cn//info/1036/13815.htm,"[{'附件名': '【2401制图C（上）、D、F期末考-1.13下午.xlsx', '下载词数': 643, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647296'}]"
194,实践科,关于举办福州大学第十一届桥梁设计大赛的通知,2024-12-30,https://jwch.fzu.edu.cn//info/1039/13834.htm,"[{'附件名': '【附件2：福州大学第十一届桥梁设计大赛报名表.doc', '下载词数': 602, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742381'}, {'附件名': '【附件3：福州大学第十一届桥梁设计大赛-竞赛细则.doc', '下载词数': 852, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742380'}]"
195,实践科,关于组织参加2025年美国大学生数学建模竞赛（MCM/ICM）通知,2024-11-29,https://jwch.fzu.edu.cn//info/1039/13773.htm,[]
196,计划科,关于2024-2025学年第二学期修读辅修专业学生名单的公示,2024-12-02,https://jwch.fzu.edu.cn//info/1038/13777.htm,[]
197,教学运行,关于2024-2025学年第一学期《中国近现代史纲要》课程期末考试安排的通知,2024-12-17,https://jwch.fzu.edu.cn//info/1036/13796.htm,"[{'附件名': '【2401史纲随堂考.xlsx', '下载词数': 814, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15645108'}]"
198,质量办,关于举办福州大学第六十一场“教学有道” 研讨活动的通知,2024-11-26,https://jwch.fzu.edu.cn//info/1040/13769.htm,[]
199,教学运行,关于2024-2025学年第一学期《大学英语（四）》课程期末考试安排的通知,2024-12-17,https://jwch.fzu.edu.cn//info/1036/13795.htm,"[{'附件名': '【2401英语四期末考-12.29上午.xlsx', '下载词数': 947, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15645107'}]"
200,质量办,关于举办福州大学第六十场“教学有道”研讨活动的通知,2024-11-25,https://jwch.fzu.edu.cn//info/1040/13768.htm,[]
201,教学运行,关于2024-2025学年第一学期《线性代数》和《线性代数与解析几何》课程期末考试安排的通知,2024-12-24,https://jwch.fzu.edu.cn//info/1036/13805.htm,"[{'附件名': '【2401线性代数、线性代数与解析几何期末考-1.5上午.xlsx', '下载词数': 507, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15646935'}]"
202,教学运行,关于2024-2025学年第一学期计算机语言类课程期末考试安排的通知,2024-12-13,https://jwch.fzu.edu.cn//info/1036/13792.htm,"[{'附件名': '【2401计算机语言课程期末考-12.28上午.xlsx', '下载词数': 610, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15643339'}]"
203,实践科,关于做好2024年省级以上大学生创新训练计划项目和第三十期本科生科研训练计划项目中期检查工作的通知,2024-12-09,https://jwch.fzu.edu.cn//info/1039/13784.htm,"[{'附件名': '【附件.zip', '下载词数': 1953, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15642560'}]"
204,教材中心,关于公布福州大学2024年本科数字教材建设立项项目的通知,2024-12-12,https://jwch.fzu.edu.cn//info/1042/13837.htm,"[{'附件名': '【福州大学2024年本科数字教材建设立项项目名单.xls', '下载词数': 624, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742619'}]"
205,教学运行,关于2024-2025学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》和《高等数学D》课程期末考试安排的通知,2024-12-29,https://jwch.fzu.edu.cn//info/1036/13831.htm,"[{'附件名': '【2401高等数学C上、D期末考-1.16下午.xlsx', '下载词数': 566, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742323'}, {'附件名': '【2401高等数学A上、B上期末考-1.16上午.xlsx', '下载词数': 792, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742322'}]"
206,质量办,关于举办福州大学第五十九场“教学有道” 研讨活动的通知,2024-11-14,https://jwch.fzu.edu.cn//info/1040/13758.htm,[]
207,实践科,关于做好2025届本科生毕业设计（论文）工作的通知,2024-12-12,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13791,"[{'附件名': '【附件：2025届福州大学本科生毕业设计（论文）有关表格.zip', '下载词数': 4835, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15643247'}]"
208,计划科,关于2024-2025学年第二学期通识教育选修课选课的通知,2025-02-22,https://jwch.fzu.edu.cn//info/1038/13877.htm,"[{'附件名': '【超星尔雅使用手册（学生版）.pdf', '下载词数': 1980, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761197'}, {'附件名': '【慕课堂学生操作手册.pdf', '下载词数': 2524, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761198'}, {'附件名': '【智慧树学生手册2025春夏.pptx', '下载词数': 1746, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761199'}]"
209,实践科,关于举办第十五届全国大学生电子商务“三创赛”福州大学校赛的通知,2024-12-02,https://jwch.fzu.edu.cn//info/1039/13778.htm,"[{'附件名': '【附件：“三创赛”福州大学校赛附件.zip', '下载词数': 776, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15639505'}]"
210,教学运行,关于2024-2025学年第一学期《概率论与数理统计》课程期末考试安排的通知,2024-12-04,https://jwch.fzu.edu.cn//info/1036/13780.htm,"[{'附件名': '【2401概率期末考-12.15下午.xlsx', '下载词数': 557, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15640022'}]"
211,质量办,关于开学第一周集中听课的通知,2025-02-23,https://jwch.fzu.edu.cn//info/1040/13882.htm,"[{'附件名': '【附件1：福州大学课堂教学质量评估表.doc', '下载词数': 389, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761249'}, {'附件名': '【附件2：福州大学课堂教学质量评估表（思政课）.docx', '下载词数': 341, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761250'}, {'附件名': '【附件3：2024-2025学年第二学期第一周课表.xlsx', '下载词数': 515, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761251'}, {'附件名': '【附件4：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc', '下载词数': 369, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761252'}]"
212,教学运行,关于2024-2025学年第一学期《工程制图E》课程期末考试安排的通知,2024-11-22,https://jwch.fzu.edu.cn//info/1036/13766.htm,"[{'附件名': '【2401制图E期末考-12.8上午.xlsx', '下载词数': 543, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15635768'}]"
213,教材中心,关于举办福州大学第五十八场“教学有道”研讨活动暨数字教材建设专题研讨会的通知,2024-11-11,https://jwch.fzu.edu.cn//info/1042/13749.htm,[]
214,计划科,关于组织申报2024-2025学年第二学期通识教育选修课的通知,2024-11-11,https://jwch.fzu.edu.cn//info/1038/13750.htm,[]
215,综合科,关于2024-2025学年第一学期再次开放本科生学生证补办及火车票优惠区间更改的通知,2024-11-15,https://jwch.fzu.edu.cn//info/1035/13759.htm,[]
216,教学运行,关于2024-2025学年第一学期《高等数学A（下）》课程期末考试安排的通知,2024-11-22,https://jwch.fzu.edu.cn//info/1036/13765.htm,"[{'附件名': '【2401高等数学A下期末考-12.1上午.xlsx', '下载词数': 723, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15635767'}]"
217,教研教改,关于开展2024年度教育部产学合作协同育人项目结题验收工作的通知,2024-11-05,https://jwch.fzu.edu.cn//info/1037/13743.htm,[]
218,综合科,关于评选2024年优秀教学管理人员的通知,2024-12-12,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13790,"[{'附件名': '【附件2-福州大学2024年优秀教学管理人员申报表.doc', '下载词数': 217, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15643196'}, {'附件名': '【附件1-福大政21-47福州大学关于印发优秀教学管理人员评选办法的通知.pdf', '下载词数': 222, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15643197'}]"
219,质量办,关于制定学院本科教学督导工作管理实施办法的通知,2024-12-18,https://jwch.fzu.edu.cn//info/1040/13801.htm,"[{'附件名': '【附件1：福大教评24-3-福州大学关于印发本科教学督导工作管理实施办法的通知.pdf', '下载词数': 876, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15646301'}, {'附件名': '【附件2：学院本科教学督导组名单.docx', '下载词数': 618, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15646302'}]"
220,计划科,关于2024-2025学年第一学期在校学生申请辅修专业的通知,2024-11-01,https://jwch.fzu.edu.cn//info/1038/13741.htm,[]
221,实践科,关于组织申报2024年高校双碳实践育人案例的通知,2024-11-28,https://jwch.fzu.edu.cn//info/1039/13772.htm,"[{'附件名': '【附件：中国高等教育学会碳中和与清洁能源教育专业委员会关于开展 2024 年高校双碳实践育人案例征集的通知.pdf', '下载词数': 798, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15637409'}]"
222,实践科,关于公布第十六届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛获省赛参赛资格名单的通知,2024-11-19,https://jwch.fzu.edu.cn//info/1039/13761.htm,"[{'附件名': '【附件1：获省赛参赛资格名单.docx', '下载词数': 2494, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15572980'}]"
223,教学运行,关于做好2024学年本科生转专业工作的通知,2024-10-23,https://jwch.fzu.edu.cn//info/1036/13733.htm,[]
224,质量办,关于举办2024年教师教学创新大赛培训会暨第五十七场“教学有道”研讨活动的通知,2024-10-21,https://jwch.fzu.edu.cn//info/1040/13728.htm,[]
225,教学运行,关于2024-2025学年第一学期《马克思主义基本原理》和《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,2024-12-03,https://jwch.fzu.edu.cn//info/1036/13779.htm,"[{'附件名': '【2401马原随堂考.xlsx', '下载词数': 543, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15639802'}, {'附件名': '【2401毛概随堂考.xlsx', '下载词数': 516, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15639803'}]"
226,质量办,关于举办福州大学第五十六场“教学有道”研讨活动的通知,2024-10-15,https://jwch.fzu.edu.cn//info/1040/13719.htm,[]
227,实践科,关于举办第十六届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛的通知,2024-10-15,https://jwch.fzu.edu.cn//info/1039/13720.htm,[]
228,教学运行,关于填报课程学生出勤率信息的通知,2024-10-11,https://jwch.fzu.edu.cn//info/1036/13715.htm,[]
229,质量办,诚邀2019届毕业生参与培养目标达成和职业发展问卷调研,2024-10-15,https://jwch.fzu.edu.cn//info/1040/13721.htm,[]
230,教学运行,关于公布2024学年各学院转专业实施细则的通知,2024-11-08,https://jwch.fzu.edu.cn//info/1036/13748.htm,"[{'附件名': '【2024各学院转专业细则.pdf', '下载词数': 8863, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14924468'}]"
231,实践科,关于公布2024年福州大学第十八届本科生数学建模竞赛获奖名单的通知,2024-11-13,https://jwch.fzu.edu.cn//info/1039/13754.htm,"[{'附件名': '【附件1：2024年福州大学第十八届本科生数学建模竞赛获奖名单.xlsx', '下载词数': 3354, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15571132'}]"
232,教学运行,关于2024-2025学年第一学期《线性代数》和《线性代数与解析几何》课程半期考试安排的通知,2024-11-07,https://jwch.fzu.edu.cn//info/1036/13746.htm,"[{'附件名': '【2401线性代数、线性代数与解析几何半期考11.24上午.xlsx', '下载词数': 750, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14923476'}]"
233,教学运行,关于2024-2025学年第一学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,2024-11-12,https://jwch.fzu.edu.cn//info/1036/13752.htm,"[{'附件名': '【2401习概随堂考.xlsx', '下载词数': 667, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15565434'}]"
234,计划科,关于全校性通识教育选修课《爱课程：管理沟通》学习的重要提示,2024-10-14,https://jwch.fzu.edu.cn//info/1038/13717.htm,[]
235,教材中心,关于开展2025年拟出版本科教材审核工作的通知,2024-12-31,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13840,"[{'附件名': '【附件4：福州大学本科教材校外编写人员政治审查表.docx', '下载词数': 36, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742686'}, {'附件名': '【附件3：福州大学本科教材编写人员政治审查表.docx', '下载词数': 34, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742685'}, {'附件名': '【附件1：福州大学教材管理实施细则.pdf', '下载词数': 36, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742681'}, {'附件名': '【附件2：福州大学本科教材编写人员汇总表.docx', '下载词数': 36, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742682'}, {'附件名': '【附件5：福州大学本科教材编写审核表.docx', '下载词数': 35, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742683'}]"
236,教学运行,关于组织2024级新生开展学籍信息自查工作的通知,2024-09-27,https://jwch.fzu.edu.cn//info/1036/13701.htm,[]
237,教学运行,关于2024年国庆节放假课程调整的通知,2024-09-24,https://jwch.fzu.edu.cn//info/1036/13696.htm,[]
238,教学运行,关于2024-2025学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》、《高等数学D》课程半期考试安排的通知,2024-10-29,https://jwch.fzu.edu.cn//info/1036/13739.htm,"[{'附件名': '【2401高等数学A（上）、B（上）、C（上）、D半期考11.17上午.xlsx', '下载词数': 1890, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14920804'}]"
239,教材中心,关于举办福州大学第五十五场“教学有道”研讨活动的通知,2024-09-25,https://jwch.fzu.edu.cn//info/1042/13697.htm,[]
240,计划科,关于公布《大学生国家安全教育》课程实施方案的通知,2024-09-23,https://jwch.fzu.edu.cn//info/1038/13692.htm,[]
241,教材中心,关于进一步加强马克思主义理论研究和建设工程重点教材选用工作的通知,2024-10-21,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13729,"[{'附件名': '【附件1：已出版马克思主义理论研究和建设工程重点教材目录（截至2024年05月）.xlsx', '下载词数': 51, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14918680'}]"
242,教学运行,关于2024-2025学年第一学期《大学物理A（下）》、《大学物理B（下）》课程半期考试安排的通知,2024-10-18,https://jwch.fzu.edu.cn//info/1036/13725.htm,"[{'附件名': '【2401大物A（下）、B（下）半期考11.2上午.xlsx', '下载词数': 801, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14918114'}]"
243,质量办,关于2024年新上岗教师教学达标培训班教师配备导师的通知,2024-10-16,https://jwch.fzu.edu.cn//info/1040/13723.htm,"[{'附件名': '【附件：2024年福州大学新上岗教师达标培训班名单（配导师）.xlsx', '下载词数': 1420, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14917430'}]"
244,教学运行,关于2024-2025学年第一学期《概率论与数理统计》课程半期考试安排的通知,2024-10-12,https://jwch.fzu.edu.cn//info/1036/13716.htm,"[{'附件名': '【2401概率论半期考10.27下午.xlsx', '下载词数': 589, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14914281'}]"
245,教学运行,关于2024-2025学年第一学期《高等数学A（下）》课程半期考试安排的通知,2024-09-30,https://jwch.fzu.edu.cn//info/1036/13705.htm,"[{'附件名': '【2401高等数学A（下）半期考10.13上午.xlsx', '下载词数': 747, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14911585'}]"
246,教材中心,关于做好2024-2025学年第二学期教材选用与征订工作的通知,2024-11-15,https://jwch.fzu.edu.cn//info/1042/13760.htm,"[{'附件名': '【附件1：已出版马克思主义理论研究和建设工程重点教材目录（截至2024年08月，共计117种）.xlsx', '下载词数': 793, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15571692'}, {'附件名': '【附件2：全国大中专教学用书目录(2025春)(1).xlsx', '下载词数': 886, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15571693'}]"
247,质量办,关于开展思政课教学专项检查的通知,2024-09-20,https://jwch.fzu.edu.cn//info/1040/13689.htm,[]
248,教学运行,关于做好2024-2025学年第二学期排课准备工作的通知,2024-09-19,https://jwch.fzu.edu.cn//info/1036/13686.htm,[]
249,质量办,关于举办福州大学第五十四场“教学有道”研讨活动的通知,2024-09-14,https://jwch.fzu.edu.cn//info/1040/13683.htm,[]
250,质量办,关于开展福州大学2024年教师教学创新大赛的通知,2024-09-29,https://jwch.fzu.edu.cn//info/1040/13703.htm,"[{'附件名': '【附件.rar', '下载词数': 674, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14911304'}]"
251,计划科,关于2024-2025学年第一学期爱课程平台参加通识教育选修课学习的重要提示,2024-09-13,https://jwch.fzu.edu.cn//info/1038/13681.htm,[]
252,质量办,福州大学关于成立思政课教学指导组的通知,2024-09-20,https://jwch.fzu.edu.cn//info/1040/13687.htm,[]
253,教学运行,关于2024年中秋节放假课程调整的通知,2024-09-11,https://jwch.fzu.edu.cn//info/1036/13675.htm,[]
254,教学运行,关于2024-2025学年第一学期2024级体育理论教室安排的通知,2024-09-20,https://jwch.fzu.edu.cn//info/1036/13688.htm,[]
255,教学运行,关于2024-2025学年第一学期重新学习选课、缴费的通知,2024-09-09,https://jwch.fzu.edu.cn//info/1036/13671.htm,[]
256,计划科,关于通识教育选修课《国际化拔尖创新人才科研训练》宣讲会及选课的通知,2024-09-23,https://jwch.fzu.edu.cn//info/1038/13695.htm,"[{'附件名': '【2024年秋季国际化拔尖创新人才科研训练具体课程清单.xlsx', '下载词数': 2304, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14909706'}]"
257,实践科,关于2024年高校教学基本状态数据库教学相关数据报送的通知,2024-09-29,https://jwch.fzu.edu.cn//info/1039/13704.htm,"[{'附件名': '【2024年本科教学相关数据报送表格.zip', '下载词数': 815, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14911306'}]"
258,教学运行,关于2024-2025-01体育理论教室安排（2023级）的通知,2024-09-06,https://jwch.fzu.edu.cn//info/1036/13665.htm,[]
259,综合科,关于召开2024-2025学年秋季学期期初本科教育教学工作会议的通知,2024-09-06,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13666,[]
260,计划科,关于组织2024级学生参加《大学生国家安全教育》课程学习的通知,2024-09-23,https://jwch.fzu.edu.cn//info/1038/13693.htm,"[{'附件名': '【超星尔雅使用手册（学生版）.pdf', '下载词数': 5149, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14909664'}]"
261,教材中心,关于开展2024年本科数字教材建设立项工作的通知,2024-11-21,https://jwch.fzu.edu.cn//info/1042/13763.htm,"[{'附件名': '【附件1.福州大学本科数字教材建设立项申报表.docx', '下载词数': 937, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15573426'}, {'附件名': '【附件2.福州大学本科数字教材建设立项申报汇总表.xls', '下载词数': 564, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15573427'}, {'附件名': '【附件3.福州大学本科教材编写人员政治审查表.docx', '下载词数': 629, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15573428'}]"
262,综合科,关于召开2024年宁夏大学、银川能源学院本科生赴福州大学访学见面交流会的通知,2024-09-02,https://jwch.fzu.edu.cn//info/1035/13651.htm,[]
263,综合科,关于2024-2025学年第一学期本科生学生证和火车票优惠区间更改的通知,2024-09-04,https://jwch.fzu.edu.cn//info/1035/13654.htm,[]
264,教材中心,关于开展本科教材工作自查的通知,2024-12-25,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13819,"[{'附件名': '【附件1：福州大学本科教材工作自查表.docx', '下载词数': 185, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647312'}, {'附件名': '【附件2：福州大学本校教师自编教材情况汇总表.xlsx', '下载词数': 104, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647375'}, {'附件名': '【附件3：福州大学本科教材编写人员审核表.docx', '下载词数': 130, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647311'}, {'附件名': '【附件4：福州大学本科教材编写审核表.docx', '下载词数': 131, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647314'}, {'附件名': '【附件5：《普通高等学校教材管理办法》等文件.rar', '下载词数': 82, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647315'}]"
265,计划科,关于公布2024-2025学年第一学期通选课取消开课名单的通知,2024-09-02,https://jwch.fzu.edu.cn//info/1038/13650.htm,[]
266,综合科,关于2024级本科生（含访学学生）学生证信息采集的通知,2024-09-02,https://jwch.fzu.edu.cn//info/1035/13648.htm,[]
267,教材中心,关于2024级新生领取课程教材的通知,2024-09-04,https://jwch.fzu.edu.cn//info/1042/13658.htm,[]
268,综合科,关于购买优惠火车票相关事宜的通知,2024-08-30,https://jwch.fzu.edu.cn//info/1035/13646.htm,[]
269,教研教改,福州大学关于开展2024级“嘉锡化学拔尖班”招生工作的通知,2024-08-30,https://jwch.fzu.edu.cn//info/1037/13643.htm,[]
270,教学运行,关于2024-2025学年第一学期辅修专业补退选、缴费的通知,2024-08-26,https://jwch.fzu.edu.cn//info/1036/13639.htm,[]
271,教学运行,关于2024-2025学年第一学期学期选课补退选的通知,2024-08-25,https://jwch.fzu.edu.cn//info/1036/13634.htm,[]
272,教学运行,关于做好2025届预计毕业生电子注册图像采集工作的通知,2024-10-21,https://jwch.fzu.edu.cn//info/1036/13727.htm,"[{'附件名': '【附件3：获得图像采集码途径.pdf', '下载词数': 1177, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14918535'}, {'附件名': '【附件2：各学院分班拍照顺序.pdf', '下载词数': 1214, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14918534'}, {'附件名': '【附件1：拍照地点示意图.pdf', '下载词数': 881, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14918533'}]"
273,教学运行,福州大学关于印发《福州大学本科生转专业管理实施办法》的通知,2024-08-01,https://jwch.fzu.edu.cn//info/1036/13629.htm,[]
